name,rating,fields,employee_counts,company_types,ages,locations
Nagarro,4.3,IT Services & Consulting,10k-50k Employees,27 years old,Munich +33 more,
IQVIA,4.1,Clinical Research,10k-50k Employees,Forbes Global 2000,41 years old,Durham +38 more
Virtusa Consulting Services,3.8,IT Services & Consulting,10k-50k Employees,27 years old,Southborough +28 more,
SMFG India Credit,4.1,NBFC,10k-50k Employees,16 years old,Mumbai +461 more,
Future Group,4.3,Retail,10k-50k Employees,Conglomerate,10 years old,Mumbai +197 more
GlobalLogic,3.8,IT Services & Consulting,10k-50k Employees,23 years old,San Jose +26 more,
ICICI Lombard General Insurance Company,3.8,Insurance,10k-50k Employees,Public,22 years old,Mumbai +234 more
Intelenet Global Services,3.7,BPO,10k-50k Employees,23 years old,Mumbai +57 more,
Amdocs,4.0,Software Product,10k-50k Employees,Forbes Global 2000,41 years old,Chesterfield +14 more
UST,3.9,IT Services & Consulting,10k-50k Employees,22 years old,Aliso Viejo +33 more,
Schneider Electric,4.1,Industrial Automation,10k-50k Employees,Forbes Global 2000,24 years old,Paris +97 more
CBRE,4.2,Real Estate,10k-50k Employees,Forbes Global 2000,117 years old,Los Angeles +64 more
Samsung,4.1,5k-10k Employees,Public,85 years old,Seoul +396 more,
Dell,4.1,Consumer Electronics & Appliances,10k-50k Employees,Forbes Global 2000,39 years old,Round Rock +86 more
JBM Group,4.0,Auto Components,1k-5k Employees,Public,40 years old,Gurgaon/Gurugram +79 more
State Bank of India,3.8,Banking,1 Lakh+ Employees,Fortune India 500,217 years old,Mumbai +437 more
Ecom Express,4.0,Logistics,10k-50k Employees,11 years old,Gurgaon +577 more,
Cholamandalam Investment & Finance,4.1,NBFC,5k-10k Employees,Fortune India 500,45 years old,Chennai +569 more
Swiggy,3.9,Internet,5k-10k Employees,Indian Unicorn,9 years old,Bangalore +160 more
L&T Technology Services,3.4,IT Services & Consulting,10k-50k Employees,Public,11 years old,Vadodara/Baroda +36 more
Bajaj Auto,3.8,Automobile,5k-10k Employees,Public,78 years old,Pune +222 more
Ekart Logistics,4.1,Logistics,5k-10k Employees,14 years old,San Francisco +507 more,
Equitas Small Finance Bank,4.1,Banking,10k-50k Employees,Fortune India 500,16 years old,Chennai +322 more
SBI Life Insurance Company,3.8,Insurance,10k-50k Employees,22 years old,Mumbai +489 more,
Nagarjuna Construction Company,4.1,Engineering & Construction,5k-10k Employees,Public,25 years old,Hyderabad/Secunderabad +200 more
Optum,4.0,Healthcare,10k-50k Employees,46 years old,Prairie +25 more,
KEC International,4.1,Engineering & Construction,5k-10k Employees,Public,78 years old,Mumbai +246 more
Viatris,4.3,Pharma,10k-50k Employees,Forbes Global 2000,62 years old,Canonsburg +65 more
Samvardhana Motherson Group,3.8,Auto Components,1k-5k Employees,Public,37 years old,Noida +69 more
Aditya Birla Fashion and Retail,4.2,Retail,10k-50k Employees,Fortune India 500,8 years old,Mumbai +214 more
Muthoot Fincorp,4.0,NBFC,10k-50k Employees,Conglomerate,136 years old,Trivandrum/Thiruvananthapuram +509 more
Godrej & Boyce Manufacturing,3.9,Engineering & Construction,10k-50k Employees,Fortune India 500,126 years old,Mumbai +125 more
Royal Enfield,4.2,Automobile,10k-50k Employees,122 years old,Gurgaon/Gurugram +277 more,
Piramal Capital Housing Finance,4.3,NBFC,1k-5k Employees,3 years old,Mumbai +301 more,
Tata Communications,4.1,Telecom,5k-10k Employees,Public,37 years old,Mumbai +83 more
L&T Finance,4.0,NBFC,10k-50k Employees,Public,29 years old,Mumbai +442 more
John Deere,4.3,IT Services & Consulting,5k-10k Employees,Fortune India 500,22 years old,Moline +109 more
LG Electronics,3.9,Consumer Electronics & Appliances,10k-50k Employees,Public,65 years old,Seoul +228 more
Intas Pharmaceuticals,4.2,Pharma,10k-50k Employees,Fortune India 500,23 years old,Ahmedabad +109 more
Whitehat jr,3.5,EdTech,5k-10k Employees,Startup,5 years old,Mumbai +49 more
Thermax Limited,4.2,Industrial Machinery,1k-5k Employees,Public,57 years old,Pune +153 more
Varun Beverages,4.0,Beverage,5k-10k Employees,Public,28 years old,Gurgaon/Gurugram +248 more
Hetero Drugs,3.8,Pharma,1k-5k Employees,30 years old,Hyderabad/Secunderabad +36 more,
Ford Motor,4.5,Automobile,5k-10k Employees,Public,120 years old,Dearborn +103 more
Abbott Healthcare,4.1,Pharma,10k-50k Employees,Public,32 years old,Illinois City +164 more
Deutsche Bank,4.1,Banking,10k-50k Employees,Fortune India 500,153 years old,Frankfurt +34 more
Sodexo,4.1,Facility Management Services,10k-50k Employees,Forbes Global 2000,15 years old,Issy les Moulineaux +122 more
Subros,3.9,Auto Components,1k-5k Employees,Public,38 years old,Noida +47 more
Randstad,3.9,1k-5k Employees,Conglomerate,31 years old,Chennai +231 more,
Havells,4.1,Electrical Equipment,5k-10k Employees,Public,40 years old,Noida +159 more
Macleods Pharmaceuticals,3.8,Pharma,10k-50k Employees,Public,37 years old,Mumbai +84 more
UnitedHealth,4.2,Healthcare,10k-50k Employees,Forbes Global 2000,46 years old,Minnetonka +14 more
VE Commercial Vehicles,4.0,Automobile,1k-5k Employees,15 years old,Gurgaon/Gurugram +119 more,
Automatic Data Processing (ADP),4.1,IT Services & Consulting,10k-50k Employees,Forbes Global 2000,74 years old,New Jersey +18 more
American Express,4.3,Financial Services,10k-50k Employees,Forbes Global 2000,173 years old,New York City +39 more
CARS24,3.6,Internet,5k-10k Employees,Indian Unicorn,8 years old,Gurgaon +140 more
Persistent Systems,3.9,IT Services & Consulting,10k-50k Employees,Public,33 years old,Pune +21 more
Pidilite Industries,4.3,Chemicals,5k-10k Employees,Public,64 years old,Mumbai +208 more
Team Lease,3.9,Recruitment,1k-5k Employees,Public,7 years old,Bangalore/Bengaluru +268 more
Atos,3.8,IT Services & Consulting,201-500 Employees,Forbes Global 2000,26 years old,Vilnius +37 more
Bharat Electronics,4.1,Consumer Electronics & Appliances,5k-10k Employees,Fortune India 500,69 years old,Bangalore/Bengaluru +41 more
Cgi Group,4.2,IT Services & Consulting,10k-50k Employees,Forbes Global 2000,47 years old,Montreal +16 more
Alkem Laboratories,3.9,Pharma,10k-50k Employees,Public,50 years old,Mumbai +139 more
Indian Air Force,4.6,Defence & Aerospace,1 Lakh+ Employees,91 years old,New Delhi +108 more,
Alembic Pharmaceuticals,4.0,Pharma,10k-50k Employees,Public,116 years old,Vadodara/Baroda +131 more
Wipro Infotech,4.1,IT Services & Consulting,1 Lakh+ Employees (Global),MNC,78 years old,Bangalore +116 more
Hindalco Industries,4.2,Metals & Mining,10k-50k Employees,Public,65 years old,Mumbai +74 more
Publicis Sapient,3.6,IT Services & Consulting,10k-50k Employees,33 years old,New York +18 more,
Hindustan Coca Cola Beverages,4.3,Beverage,5k-10k Employees,26 years old,Bangalore +196 more,
Wipro Consumer Care & Lighting,3.8,FMCG,1k-5k Employees,78 years old,Bangalore/Bengaluru +85 more,
DCB Bank,3.9,Banking,5k-10k Employees,Fortune India 500,93 years old,Mumbai +291 more
Vishal Mega Mart,3.8,Retail,10k-50k Employees,15 years old,Gurgaon/Gurugram +299 more,
Axis Direct,3.9,Financial Services,1k-5k Employees,12 years old,San Mateo +267 more,
R1 RCM,3.9,BPO,5k-10k Employees,20 years old,Murray +21 more,
Access Healthcare,3.9,IT Services & Consulting,5k-10k Employees,12 years old,Dallas +25 more,
Ipca Laboratories,4.0,Pharma,10k-50k Employees,Public,74 years old,Mumbai +112 more
Glenmark Pharmaceuticals,4.0,Pharma,10k-50k Employees,Public,46 years old,Mumbai +122 more
ABB Group,4.1,Electrical Equipment,1k-5k Employees,Public,35 years old,Zurich +91 more
CMS IT Services,3.2,IT Services & Consulting,5k-10k Employees,Startup,9 years old,Bangalore +135 more
NatWest Group,4.1,Banking,10k-50k Employees,Forbes Global 2000,Gurgaon/Gurugram +21 more,
Standard Chartered Bank,3.9,Banking,10k-50k Employees,Fortune India 500,54 years old,London +57 more
Bank of America,4.4,Banking,10k-50k Employees,Fortune India 500,25 years old,Charlotte +26 more
Maersk,4.3,Logistics,10k-50k Employees,119 years old,Copenhagen +30 more,
DTDC Express,3.8,Logistics,1k-5k Employees,33 years old,Bangalore/Bengaluru +214 more,
Tata AIA Life Insurance,4.0,Insurance,10k-50k Employees,22 years old,Mumbai +274 more,
Biocon,3.8,Biotechnology,10k-50k Employees,Public,45 years old,Bangalore/Bengaluru +63 more
MRF Tyres,3.7,Auto Components,10k-50k Employees,Public,77 years old,Chennai +160 more
Honda Motorcycle & Scooter,4.2,Automobile,1k-5k Employees,24 years old,Gurgaon/Gurugram +197 more,
Aarti Industries,4.1,Agro Chemicals,5k-10k Employees,Public,48 years old,Mumbai +37 more
ITC Infotech,3.5,IT Services & Consulting,5k-10k Employees,23 years old,Bangalore/Bengaluru +45 more,
Reliance Nippon Life Insurance,3.9,Insurance,10k-50k Employees,23 years old,Mumbai +413 more,
24/7 Customer,3.6,BPO,5k-10k Employees,23 years old,San Jose +22 more,
Paras Hospital,4.6,Healthcare,5k-10k Employees,17 years old,Gurgaon/Gurugram +37 more,
Jindal Steel and Power,3.9,Iron & Steel,5k-10k Employees,Fortune India 500,44 years old,Delhi/NCR +100 more
Aakash Educational Services,3.6,EdTech,10k-50k Employees,35 years old,New Delhi +190 more,
Conduent,3.6,BPO,5k-10k Employees,6 years old,Florham Park +20 more,
Berger Paints,3.7,Chemicals,1k-5k Employees,Public,100 years old,Kolkata +214 more
GATI-KWE,4.0,Logistics,1k-5k Employees,11 years old,Hyderabad/Secunderabad +154 more,
Indiabulls Home Loans,3.8,NBFC,5k-10k Employees,Public,18 years old,Gurgaon/Gurugram +176 more
HDFC Ergo General Insurance,4.0,Insurance,10k-50k Employees,Public,21 years old,Mumbai +212 more
Shoppers Stop,4.2,Retail,5k-10k Employees,Public,32 years old,Mumbai +61 more
PolicyBazaar,3.4,Internet,10k-50k Employees,Public,15 years old,Gurgaon +67 more
Utkarsh Small Finance Bank,3.9,Banking,10k-50k Employees,Public,14 years old,Varanasi +272 more
Escorts Kubota Limited,4.1,Automobile,1k-5k Employees,Public,63 years old,Faridabad +118 more
Ceat Tyres,4.0,Auto Components,5k-10k Employees,Public,65 years old,Mumbai +99 more
Carelon Global Solutions,4.0,IT Services & Consulting,5k-10k Employees,Hyderabad/Secunderabad +9 more,,
RBL Bank,3.7,Banking,10k-50k Employees,Public,80 years old,Mumbai +198 more
PNB MetLife,3.5,Insurance,5k-10k Employees,Conglomerate,22 years old,Mumbai +298 more
Kotak Mahindara Life Insurance,3.8,Insurance,10k-50k Employees,Public,22 years old,Mumbai +191 more
Cogent E Services,3.3,BPO,10k-50k Employees,Conglomerate,19 years old,Noida +30 more
GeBBS Healthcare Solutions,3.8,BPO,5k-10k Employees,18 years old,Culver City +12 more,
Dabur,3.8,FMCG,5k-10k Employees,Public,139 years old,Ghaziabad +223 more
Indian Oil Corporation,4.4,Oil & Gas,10k-50k Employees,Fortune India 500,64 years old,Delhi/NCR +224 more
ACC,3.9,Building Material,5k-10k Employees,Public,87 years old,Mumbai +198 more
Reliance Digital,4.2,Retail,5k-10k Employees,16 years old,Mumbai +281 more,
