name,rating,fields,employee_counts,company_types,ages,locations
SevenMentor,4.7,IT Services & Consulting,51-200 Employees,14 years old,Pune +2 more,
Shriram Properties,3.8,Real Estate,501-1k Employees,28 years old,Bangalore/Bengaluru +8 more,
The Smart Cube,3.8,Management Consulting,501-1k Employees,20 years old,Noida +7 more,
Infoesearch Ites,3.2,Media & Entertainment,51-200 Employees,16 years old,Hyderabad/Secunderabad +4 more,
National Highways Authority of India,4.1,Engineering & Construction,5k-10k Employees (Global),Public,35 years old,New Delhi +83 more
Goldstone Cements,3.6,Building Material,51-200 Employees,16 years old,Guwahati +13 more,
Gpt Infraprojects,3.8,Engineering & Construction,1k-5k Employees,Public,43 years old,Kolkata +16 more
Ameex Technologies,3.8,IT Services & Consulting,501-1k Employees,16 years old,Chennai +3 more,
Hyderabad Metro Rail,4.0,Railways,5k-10k Employees,13 years old,Hyderabad/Secunderabad +5 more,
Andhra Pradesh State Skill Developmentcorporation,3.9,Non-Profit,201-500 Employees,9 years old,Vijayawada +24 more,
Locuz Enterprise Solutions,4.2,IT Services & Consulting,501-1k Employees,Public,24 years old,Hyderabad/Secunderabad +12 more
Ephicacy Lifescience Analytics,4.6,Clinical Research,201-500 Employees,Bengaluru/Bangalore +5 more,,
Modern V.R. Security Force,4.3,Law Enforcement & Security,51-200 Employees,39 years old,Mumbai +38 more,
Naprod Life Sciences,3.3,Pharma,201-500 Employees,17 years old,Boisar +6 more,
Sakon,3.5,IT Services & Consulting,501-1k Employees,20 years old,Pune +2 more,
Velnik India,3.2,Beauty & Personal Care,1k-5k Employees,6 years old,Indore +26 more,
Sopra Banking Software,4.0,IT Services & Consulting,1k-5k Employees,Public,11 years old,Noida +4 more
Flipkart Wholesale,4.1,11-50 Employees,Bengaluru/Bangalore +41 more,,,
Agappe Diagnostics,3.9,Healthcare,501-1k Employees,25 years old,Kochi +24 more,
CignaTTk Health Insurance,3.9,Insurance,1k-5k Employees,11 years old,Mumbai +35 more,
JP Infra,3.5,Real Estate,201-500 Employees,17 years old,Mumbai +6 more,
Yethi Consulting,3.6,IT Services & Consulting,501-1k Employees,Startup,10 years old,Bengaluru/Bangalore +9 more
Daffodil Software,3.7,IT Services & Consulting,201-500 Employees,Conglomerate,24 years old,Grandville +5 more
Alf Engineering,3.9,Auto Components,201-500 Employees,17 years old,Nasik/Nashik +10 more,
Malladi Drugs & Pharmaceuticals,4.1,Pharma,201-500 Employees,43 years old,Chennai +11 more,
Narayana Junior College,3.9,Education & Training,10k-50k Employees,44 years old,Hyderabad +25 more,
Carrefour,4.0,Retail,201-500 Employees,Forbes Global 2000,64 years old,Massy +22 more
Quest Diagnostics,3.5,Clinical Research,501-1k Employees,Forbes Global 2000,56 years old,Secaucus +11 more
Siegwerk,4.1,Chemicals,501-1k Employees,193 years old,Siegburg +14 more,
Bill Forge,3.8,Auto Components,201-500 Employees,38 years old,Bangalore/Bengaluru +7 more,
Lion Engineering Consultants,3.5,Engineering & Construction,1k-5k Employees,21 years old,Bhopal +37 more,
Snowman Logistics,4.1,Logistics,201-500 Employees,Public,27 years old,Bangalore/Bengaluru +23 more
Filatex India,4.0,Fashion & Textile,1k-5k Employees,Public,33 years old,Noida +9 more
ITCube Solutions,3.5,IT Services & Consulting,201-500 Employees,20 years old,Pune +5 more,
KisanKraft Machine Tools,3.4,Industrial Machinery,201-500 Employees,18 years old,Bangalore/Bengaluru +18 more,
Domino Printech,4.1,Printing & Publishing,201-500 Employees,27 years old,Gurgaon/Gurugram +23 more,
Wings Biotech,3.2,Pharma,1k-5k Employees,Public,37 years old,Delhi/NCR +25 more
Sunteck Realty,3.4,Real Estate,51-200 Employees,Public,42 years old,Mumbai +7 more
Eternis Fine Chemicals,3.8,Chemicals,201-500 Employees,Public,35 years old,Mumbai +7 more
ICPA Health Products,3.2,Healthcare,51-200 Employees,Public,40 years old,Mumbai +22 more
Hawkins Cookers,3.8,501-1k Employees,Public,64 years old,Mumbai +22 more,
IndiaCan,4.6,EdTech,201-500 Employees,15 years old,Noida +40 more,
National Securities Depository,3.3,Financial Services,201-500 Employees,27 years old,Mumbai +6 more,
GKB RX Lens,4.3,Medical Equipment,1k-5k Employees,64 years old,Kolkata +19 more,
Apollo Medskills,4.0,Healthcare,201-500 Employees,11 years old,Hyderabad/Secunderabad +24 more,
Dr Mohan's Diabetes Specialities Centre,4.0,Healthcare,1k-5k Employees,32 years old,Chennai +29 more,
Berar Finance,4.1,Financial Services,51-200 Employees,Public,33 years old,Nagpur +52 more
Navneet Education,3.7,Printing & Publishing,501-1k Employees,Public,64 years old,Mumbai +24 more
M & M Financial Services,4.4,NBFC,10k-50k Employees,Public,32 years old,Mumbai +56 more
Edward Food Research and Analysis Centre,3.8,Analytics & KPO,51-200 Employees,102 years old,Kolkata +4 more,
Dorset Industries,3.6,Building Material,201-500 Employees,28 years old,Gurgaon +27 more,
Auro Realty Private Limited,4.3,Real Estate,501-1k Employees,7 years old,Hyderabad/Secunderabad +12 more,
Suez Water Technologies and Solutions,4.3,Waste Management,5k-10k Employees,Public,54 years old,Trevose +27 more
Hero Housing Finance,3.9,Financial Services,501-1k Employees,Startup,6 years old,New Delhi +45 more
Befree Business Resourceing,3.4,Accounting & Auditing,1k-5k Employees,17 years old,Parramatta +7 more,
Kovai Medical Center and Hospital,4.4,Healthcare,201-500 Employees,Public,38 years old,Coimbatore +7 more
Major Brands,3.8,Retail,51-200 Employees,22 years old,Mumbai +15 more,
Aspire Home Finance,4.0,Insurance,1k-5k Employees,10 years old,Mumbai +60 more,
EagleBurgmann,3.8,Industrial Machinery,501-1k Employees,139 years old,Wolfratshausen +15 more,
Girmiti Software,4.1,IT Services & Consulting,201-500 Employees,11 years old,Bangalore/Bengaluru +2 more,
Indifi Technologies,3.7,Financial Services,501-1k Employees,Startup,8 years old,Gurgaon +6 more
Indian Council of Agricultural Research,4.1,Education & Training,501-1k Employees,94 years old,New Delhi +39 more,
Fashion TV,4.1,Broadcasting,51-200 Employees,Paris +6 more,,
Asian Institute of Medical Sciences,4.3,Healthcare,1k-5k Employees,13 years old,Faridabad +12 more,
J. C. Penney,4.3,Retail,501-1k Employees,121 years old,Plano +7 more,
Metacube Software,4.1,IT Services & Consulting,1k-5k Employees,19 years old,Jaipur +2 more,
Institute of Language Management,4.2,Education & Training,501-1k Employees,22 years old,Bengaluru +8 more,
TRIGO Group,2.6,Auto Components,11-50 Employees,26 years old,Tel Aviv +22 more,
WEG,3.7,Electronics Manufacturing,201-500 Employees,Forbes Global 2000,62 years old,Tamil Nadu +6 more
Shanthi Gears,3.5,Auto Components,501-1k Employees,Public,54 years old,Coimbatore +10 more
Vanderlande Industries,4.2,Logistics,501-1k Employees,74 years old,Veghel +7 more,
Stefanini,3.5,IT Services & Consulting,201-500 Employees,21 years old,JaguariÃºna +8 more,
ITW India,4.1,Industrial Machinery,10k-50k Employees (Global),111 years old,Glenview +18 more,
IT By Design,3.7,IT Services & Consulting,201-500 Employees,20 years old,Jersey City +6 more,
Vedika Credit Capital,3.8,NBFC,1k-5k Employees,Public,28 years old,Ranchi +33 more
Arkray Healthcare,3.8,Healthcare,201-500 Employees,63 years old,Mumbai +26 more,
Sam India Built Well,3.5,Engineering & Construction,5k-10k Employees,25 years old,New Delhi +12 more,
Maxvalue Credits & Investments,4.5,NBFC,1k-5k Employees,Public,7 years old,Thrissur +25 more
Cloudstrats Technologies,3.7,IT Services & Consulting,51-200 Employees (Global),9 years old,New York +10 more,
Searce Cosourcing Services,3.3,IT Services & Consulting,1k-5k Employees,19 years old,Cupertino +7 more,
Applus Velosi,4.0,Oil & Gas,501-1k Employees,41 years old,Abu Dhabi +15 more,
Hiranandani Financial Services,4.4,Financial Services,51-200 Employees,6 years old,Mumbai +42 more,
Searce Cosourcing Services,3.3,IT Services & Consulting,1k-5k Employees,19 years old,Cupertino +7 more,
Shaadi.com,3.6,Internet,201-500 Employees,27 years old,Mumbai +24 more,
Hiranandani Financial Services,4.4,Financial Services,51-200 Employees,6 years old,Mumbai +42 more,
Avanse Financial Services,4.0,Financial Services,201-500 Employees,Startup,11 years old,Mumbai +22 more
National Institute for Smart Government,3.6,Management Consulting,501-1k Employees,21 years old,Delhi +26 more,
Kalyani Maxion Wheels,3.9,Auto Components,10k-50k Employees,103 years old,Königswinter +3 more,
Porteck India Infoservices,4.0,IT Services & Consulting,201-500 Employees,21 years old,Jericho +4 more,
KK Spun Pipes,3.0,Industrial Machinery,201-500 Employees,46 years old,Faridabad +14 more,
Uttam Value Steels,4.1,Iron & Steel,1k-5k Employees,Public,49 years old,Mumbai +7 more
Faber India,4.3,Consumer Electronics & Appliances,201-500 Employees,68 years old,Pune +31 more,
Fernandez Hospital,4.2,Healthcare,1k-5k Employees,75 years old,Hyderabad/Secunderabad,
Claritus Management Consulting,4.6,IT Services & Consulting,51-200 Employees,15 years old,Noida +4 more,
Fleet Management,3.9,Ports & Shipping,201-500 Employees,29 years old,Wong Chuk Hang +14 more,
Ritu Kumar,3.8,Fashion & Textile,501-1k Employees,54 years old,Gurgaon +28 more,
Xeam Ventures,4.0,Recruitment,51-200 Employees,19 years old,Mohali +38 more,
Saint Gobain Sekurit India,4.0,Auto Components,501-1k Employees,Public,50 years old,Pune +15 more
L&T Infrastructure Engineering,4.1,Real Estate,201-500 Employees,Chennai +13 more,,
Ahresty India,3.7,Auto Components,51-200 Employees,16 years old,Rewari +7 more,
Narula Infrastructure,3.6,Engineering & Construction,51-200 Employees,18 years old,Kolkata +35 more,
Allen Solly,4.4,Fashion & Textile,10k-50k Employees,Public,279 years old,Bangalore/Bengaluru +45 more
Paradise Food Court,3.9,Hospitality,1k-5k Employees,70 years old,Hyderabad/Secunderabad +8 more,
Geo Chem Laboratories,3.5,Industrial Machinery,1k-5k Employees,59 years old,Mumbai +17 more,
Trigyn Technologies,3.5,501-1k Employees,Public,37 years old,Edison +10 more,
Axles India,3.7,Auto Components,1k-5k Employees,42 years old,Chennai +12 more,
SAVIC Technologies,3.4,IT Services & Consulting,201-500 Employees,7 years old,Navi Mumbai +10 more,
C-quel Management Services,4.5,Accounting & Auditing,11-50 Employees,23 years old,Kolkata +13 more,
Saint Gobain Sekurit India,4.0,Auto Components,501-1k Employees,Public,50 years old,Pune +15 more
DS Spiceco,4.1,Food Processing,501-1k Employees,36 years old,Noida +43 more,
Vihaan Networks,4.0,Telecom,501-1k Employees,19 years old,Gurgaon/Gurugram +19 more,
L&T Infrastructure Engineering,4.1,Real Estate,201-500 Employees,Chennai +13 more,,
Xeam Ventures,4.0,Recruitment,51-200 Employees,19 years old,Mohali +38 more,
Porteck India Infoservices,4.0,IT Services & Consulting,201-500 Employees,21 years old,Jericho +4 more,
Kalyani Maxion Wheels,3.9,Auto Components,10k-50k Employees,103 years old,Königswinter +3 more,
Jms Mining Services,3.6,Metals & Mining,201-500 Employees,21 years old,Kolkata +20 more,
Apmosys Technologies,3.8,IT Services & Consulting,51-200 Employees,11 years old,Mumbai +2 more,
BOLD Technology Systems,3.4,Internet,501-1k Employees,19 years old,San Juan +5 more,
Hipad Technology India,4.0,Electronics Manufacturing,1k-5k Employees (Global),7 years old,Noida +3 more,
Fraazo,3.4,Internet,51-200 Employees,Startup,7 years old,Mumbai +12 more
Accurate Global Alliances,4.7,Recruitment,51-200 Employees,11 years old,Noida +4 more,
Azentio,3.2,Software Product,1k-5k Employees,Singapore +14 more,,
Jaypee Hotels,3.7,Hospitality,501-1k Employees,Public,43 years old,Delhi/NCR +12 more
TA Digital,4.1,IT Services & Consulting,501-1k Employees,23 years old,Newark +3 more,
Energy Efficiency Services,4.0,Power,501-1k Employees,14 years old,New Delhi +31 more,
Sears IT & Management Services India,3.7,IT Services & Consulting,501-1k Employees,14 years old,Pune +3 more,
Roha Dyechem,3.2,Food Processing,501-1k Employees,51 years old,Mumbai +8 more,
HEUBACH Colour,3.8,Chemicals,51-200 Employees,29 years old,Vadodara +9 more,
CIMS Hospital,3.9,Healthcare,201-500 Employees,13 years old,Ahmedabad +12 more,
Balasore Alloys,3.7,Metals & Mining,501-1k Employees,Public,39 years old,Balasore +10 more
Dentsu Aegis Network,3.9,Marketing & Advertising,1k-5k Employees,Conglomerate,34 years old,London +10 more
Ajay Industrial Corporation,3.9,Industrial Machinery,51-200 Employees,62 years old,Ghaziabad +26 more,
Betsol,3.5,IT Services & Consulting,501-1k Employees,21 years old,Broomfield +2 more,
Henkel,4.0,Chemicals,501-1k Employees,Forbes Global 2000,58 years old,Mumbai +23 more
IIHT,4.1,Education & Training,201-500 Employees,30 years old,Bangalore/Bengaluru +21 more,
Sterlite Industries,4.3,Other,201-500 Employees,Public,48 years old,Mumbai +16 more
Edelweiss Broking,3.6,Financial Services,5k-10k Employees,28 years old,Mumbai +33 more,
Mayur Uniquoters,4.1,Leather,501-1k Employees,Public,31 years old,Jaipur +4 more
Jbm Auto Components,4.0,Auto Components,10k-50k Employees (Global),40 years old,Gurgaon +24 more,
Covalent Laboratories,3.2,Pharma,51-200 Employees,21 years old,Hyderabad/Secunderabad +4 more,
CFlo,4.6,Metals & Mining,201-500 Employees,17 years old,Kolkata +6 more,
Kanoria Chemicals & Industries,3.9,Chemicals,1k-5k Employees,Public,63 years old,Delhi/NCR +9 more
Bombay Stock Exchange,3.9,Financial Services,1k-5k Employees,148 years old,Mumbai +9 more,
Enphase Energy,3.5,Power,501-1k Employees,Public,17 years old,Fremont +5 more
KNR Constructions,4.1,Engineering & Construction,501-1k Employees,Public,28 years old,Hyderabad/Secunderabad +28 more
RWS Group,4.0,IT Services & Consulting,5k-10k Employees,67 years old,Chalfont St Peter +8 more,
BLS International Services,3.3,BPO,51-200 Employees,Public,40 years old,Delhi/NCR +36 more
Exusia,4.2,IT Services & Consulting,201-500 Employees,11 years old,Miami +8 more,
Prakash Industries,3.8,Metals & Mining,501-1k Employees,Public,43 years old,New Delhi +32 more
Vcare Call Center,2.7,BPO,201-500 Employees,19 years old,Noida +7 more,
Al Fara'a Group,3.2,Engineering & Construction,201-500 Employees,43 years old,Al Ain +10 more,
SMS Group,4.2,Industrial Machinery,1k-5k Employees,152 years old,Düsseldorf +12 more,
C. L. GUPTA EXPORTS,4.1,Import & Export,1k-5k Employees,Public,68 years old,New Delhi +7 more
Manba Finance,3.7,NBFC,501-1k Employees,Public,27 years old,Mumbai +17 more
Biostadt,4.6,Agro Chemicals,501-1k Employees,20 years old,Mumbai +41 more,
Rudrabhishek Enterprises,3.4,Urban Transport,201-500 Employees,Public,31 years old,Delhi/NCR +21 more
Bank Muscat,4.2,Banking,51-200 Employees,Forbes Global 2000,41 years old,Muscat +56 more
Hyderabad Industries,4.3,Industrial Machinery,1k-5k Employees,77 years old,Hyderabad +30 more,
Roulunds Braking,3.3,Auto Components,1k-5k Employees (Global),287 years old,Odense +2 more,
International Certification Services,3.5,Other,201-500 Employees,24 years old,Mumbai +29 more,
Godawari Power & Ispat,4.3,Iron & Steel,1k-5k Employees,Public,24 years old,Raipur +6 more
Mytrah Energy,3.9,Power,201-500 Employees,14 years old,Hyderabad/Secunderabad +12 more,
GAIN Credit,4.4,FinTech,201-500 Employees,20 years old,San Diego +6 more,
S&P Capital IQ,4.3,Analytics & KPO,10k-50k Employees,25 years old,New york +3 more,
Vesuvius,3.9,Industrial Machinery,501-1k Employees,Public,32 years old,London +13 more
Alpha Design Technologies,4.0,Defence & Aerospace,501-1k Employees,20 years old,Bangalore +11 more,
Dotsquares,3.6,IT Services & Consulting,1k-5k Employees,21 years old,London +2 more,
BPL Medical Technologies,4.2,Medical Equipment,501-1k Employees,56 years old,Bangalore +22 more,
Mirafra Technologies,3.9,Semiconductors,501-1k Employees,19 years old,Bangalore/Bengaluru +4 more,
Ayoki Fabricon,3.7,Engineering & Construction,5k-10k Employees,39 years old,Pune +17 more,
SPIE Oil & Gas Services,4.1,Oil & Gas,51-200 Employees,19 years old,Cergy +12 more,
Technique Control Facility Management,3.7,Facility Management Services,51-200 Employees,13 years old,Bangalore/Bengaluru +15 more,
MM Forgings,3.7,Iron & Steel,1k-5k Employees,Public,77 years old,Chennai +14 more
Anlage Infotech,3.9,IT Services & Consulting,11-50 Employees,27 years old,Mumbai +12 more,
Gracure Pharmaceuticals,3.6,Pharma,501-1k Employees,31 years old,Delhi/NCR +6 more,
The Pride Hotel,4.4,Hospitality,501-1k Employees,48 years old,Mumbai +19 more,
Joyson Safety Systems,3.8,Auto Components,1k-5k Employees,26 years old,Auburn Hills +7 more,
MINISO,4.0,Retail,1k-5k Employees (Global),10 years old,Gurgaon/Gurugram +28 more,
Ncc Urban Infrastructure,4.0,Engineering & Construction,201-500 Employees,16 years old,Hyderabad/Secunderabad +23 more,
Captain Fresh,3.7,Logistics,501-1k Employees,Startup,4 years old,Bangalore +15 more
KGK Group,4.0,Jewellery,201-500 Employees,118 years old,Hong Kong +11 more,
QX,3.7,BPO,1k-5k Employees,20 years old,Skipton +4 more,
COMSTAR AUTOMOTIVE TECHNOLOGIES,3.7,Auto Components,201-500 Employees,24 years old,Chengalpattu +4 more,
Margadarsi Chit Fund,3.7,Financial Services,1k-5k Employees,61 years old,Hyderabad +23 more,
cFIRST,4.2,Recruitment,201-500 Employees,17 years old,Cincinnati +6 more,
Jubilant Industries,3.9,Chemicals / Agri Inputs,501-1k Employees,Public,16 years old,Noida +30 more
Fujitec,3.9,Electronics Manufacturing,51-200 Employees,Public,13 years old,Hikone +15 more
Jitm Skills,3.5,Education & Training,51-200 Employees,10 years old,Delhi/NCR +29 more,
Gulf Spic General Trading & Contracting Company,3.8,Engineering & Construction,5k-10k Employees (Global),26 years old,Fahaheel +7 more,
Azure Hospitality,4.5,Hospitality,201-500 Employees,14 years old,Delhi +9 more,
Pathfinder Business Analysis,3.4,IT Services & Consulting,501-1k Employees,15 years old,Coimbatore +12 more,
ITC ABD,3.6,51-200 Employees,113 years old,Kolkata +44 more,,
R-Logic Technology Services,4.1,IT Services & Consulting,1k-5k Employees,27 years old,Bangalore/Bengaluru +7 more,
PurpleTalk,4.1,Gaming,501-1k Employees,15 years old,Dallas +4 more,
Mangalam Cement,4.1,Building Material,1k-5k Employees,Public,47 years old,Kolkata +19 more
o9 Solutions,3.9,IT Services & Consulting,1k-5k Employees,14 years old,Dallas +1 more,
Chitkara University,4.2,Education & Training,501-1k Employees,15 years old,Chandigarh +6 more,
PIX Transmissions,4.0,Fashion & Textile,51-200 Employees,Public,42 years old,Nagpur +7 more
Blue Cross Laboratories,4.0,Pharma,1k-5k Employees,Public,43 years old,Mumbai +25 more
JK Agri Genetics,3.8,Biotechnology,201-500 Employees,Public,34 years old,Hyderabad +35 more
Synthite Industries,4.0,Food Processing,1k-5k Employees,51 years old,Ernakulam +14 more,
ValGenesis,2.8,Software Product,201-500 Employees,18 years old,South San Francisco +4 more,
o9 Solutions,3.9,IT Services & Consulting,1k-5k Employees,14 years old,Dallas +1 more,
ITC ABD,3.6,51-200 Employees,113 years old,Kolkata +44 more,,
Venkateshwar Hospital,3.6,Healthcare,201-500 Employees,18 years old,Delhi/NCR +3 more,
Magnasoft Consulting India,3.4,IT Services & Consulting,501-1k Employees,23 years old,Bangalore/Bengaluru +9 more,
Shri Bajrang Power & Ispat,4.0,Power,1k-5k Employees,Public,21 years old,Mumbai +7 more
Shiva Pharmachem,4.0,Chemicals,201-500 Employees,Public,22 years old,Vadodara/Baroda +6 more
Gulf Spic General Trading & Contracting Company,3.8,Engineering & Construction,5k-10k Employees (Global),26 years old,Fahaheel +7 more,
Namdev Finvest,4.7,Financial Services,201-500 Employees,26 years old,Jaipur +28 more,
Coditas Technologies,3.2,IT Services & Consulting,501-1k Employees,9 years old,Pune +1 more,
OASYS Cybernetics,3.4,IT Services & Consulting,201-500 Employees,23 years old,Chennai +17 more,
Novel Office,4.0,Real Estate,51-200 Employees,30 years old,Bengaluru/Bangalore +10 more,
Zucol Group,2.6,IT Services & Consulting,501-1k Employees,13 years old,Gurgaon/Gurugram +7 more,
Asiana Times,4.4,Media & Entertainment,51-200 Employees,Mumbai +4 more,,
Bajaj Allianz,3.9,Pune +69 more,,,,
B9 Beverages,4.0,Beverage,501-1k Employees,8 years old,New Delhi +23 more,
Rajesh Motors,3.7,Automobile,51-200 Employees,43 years old,Jaipur +20 more,
Appasamy Associates,3.8,Medical Equipment,51-200 Employees,45 years old,Chennai +22 more,
Weizmann Forex,3.8,Financial Services,201-500 Employees,Public,30 years old,Mumbai +31 more
DynPro,3.5,IT Services & Consulting,51-200 Employees,27 years old,Bangalore/Bengaluru +13 more,
Lalitpur Power Generation,4.3,Power,1k-5k Employees,14 years old,Lalitpur +7 more,
Pramati Technologies,4.3,IT Services & Consulting,1k-5k Employees,25 years old,Hyderabad/Secunderabad +3 more,
Chai Point,3.5,Beverage,501-1k Employees,13 years old,Bangalore +13 more,
Indian Railway Catering and Tourism,4.1,Urban Transport,1k-5k Employees,Public,24 years old,Delhi/NCR +34 more
INFRES METHODEX,3.3,Industrial Automation,501-1k Employees,36 years old,Faridabad +37 more,
Indian Oil- Adani Gas,3.8,Noida +30 more,,,,
Mashreq Bank,3.4,Banking,11-50 Employees,Public,56 years old,Dubai +7 more
SasMos HET Technologies,3.8,Electrical Equipment,201-500 Employees,Public,16 years old,Bengaluru +3 more
Vivimed Labs,3.8,Chemicals,501-1k Employees,Public,32 years old,Hyderabad/Secunderabad +10 more
Indus Motors,4.1,Automobile,5k-10k Employees (Global),33 years old,Kochi/Cochin +24 more,
Be Well Hospitals,4.3,Healthcare,501-1k Employees,12 years old,Chennai +9 more,
Lifelong India,4.0,Petrochemicals,501-1k Employees,38 years old,Delhi/NCR +5 more,
Development Consultants,3.7,IT Services & Consulting,51-200 Employees,73 years old,Kolkata +9 more,
L and T Chiyoda,3.5,Oil & Gas,Vadodara +1 more,,,
Axis Sales,4.1,Financial Services,11-50 Employees,17 years old,Pune +60 more,
Upwork,4.5,Internet,501-1k Employees,Public,8 years old,Santa Clara +24 more
Simpson,3.9,Auto Components,201-500 Employees,183 years old,Chennai +5 more,
Fusion,3.3,IT Services & Consulting,11-50 Employees,22 years old,Gangnam +23 more,
Afflatus Gravures,3.8,Printing & Publishing,51-200 Employees,20 years old,Noida +11 more,
Nayati Hospital,3.1,Healthcare,1k-5k Employees,11 years old,Noida +9 more,
OEN India,3.9,Auto Components,51-200 Employees,55 years old,Kochi/Cochin +8 more,
DynPro,3.5,IT Services & Consulting,51-200 Employees,27 years old,Mohali +13 more,
OEN India,3.9,Auto Components,51-200 Employees,55 years old,Pune +8 more,
Afflatus Gravures,3.8,Printing & Publishing,51-200 Employees,20 years old,Noida +11 more,
Nayati Hospital,3.1,Healthcare,1k-5k Employees,11 years old,Mathura +9 more,
Odisha Power Generation Corporation,3.9,Oil & Gas,1k-5k Employees,Public,39 years old,Jharsuguda +7 more
Merkle Sokrati,3.7,Marketing & Advertising,1k-5k Employees,Pune +2 more,,
EPIQ Systems,4.0,IT Services & Consulting,501-1k Employees,35 years old,Hyderabad/Secunderabad +3 more,
Hindustan Urvarak & Rasayan,3.2,51-200 Employees,Gorakhpur +11 more,,,
Google Pay,4.2,FinTech,10k-50k Employees (Global),Hyderabad/Secunderabad +50 more,,
Shalimar Corp,4.0,Real Estate,501-1k Employees,Lucknow +9 more,,
Nibav Lifts,3.6,Industrial Machinery,501-1k Employees,4 years old,Chennai +24 more,
JSW Steel Coated Products,3.8,Tarapur +16 more,,,,
Sand Martin Consultants,3.1,BPO,501-1k Employees,39 years old,Noida +6 more,
Manika Moulds,4.0,Petrochemicals,51-200 Employees,27 years old,"Una, Himachal Pradesh +11 more",
ANR Software Private Limited,3.6,IT Services & Consulting,201-500 Employees,19 years old,Noida +4 more,
Don Bosco Tech Society,3.9,Non-Profit,201-500 Employees,17 years old,New Delhi +45 more,
Royal Infraconstru,3.8,Engineering & Construction,51-200 Employees,43 years old,Kolkata +24 more,
Skypro Technologies,3.8,IT Services & Consulting,51-200 Employees,12 years old,Bengaluru/Bangalore +27 more,
Dishman Pharmaceuticals and Chemicals,4.2,Pharma,201-500 Employees,Public,40 years old,Ahmedabad +8 more
Bhadra International,3.5,Logistics,51-200 Employees,23 years old,Chennai +7 more,
Bhadra International,3.5,Logistics,51-200 Employees,23 years old,New Delhi +7 more,
Lucy Electric,3.9,Electrical Equipment,51-200 Employees,211 years old,Thame +9 more,
Skypro Technologies,3.8,IT Services & Consulting,51-200 Employees,12 years old,Bangalore/Bengaluru +27 more,
Royal Infraconstru,3.8,Engineering & Construction,51-200 Employees,43 years old,Kolkata +24 more,
Pyro Group,3.6,Telecom,201-500 Employees,24 years old,Hyderabad/Secunderabad +26 more,
Dover India,4.1,Industrial Machinery,501-1k Employees,Forbes Global 2000,20 years old,Downers Grove +5 more
Dishman Pharmaceuticals and Chemicals,4.2,Pharma,201-500 Employees,Public,40 years old,Ahmedabad +8 more
Indo Count Industries,3.9,Fashion & Textile,1k-5k Employees,Public,35 years old,Mumbai +12 more
Amara Raja Infra,3.8,Engineering & Construction,201-500 Employees,39 years old,Hyderabad +14 more,
Global Consumer Products,4.0,FMCG,51-200 Employees,10 years old,Bangalore +34 more,
SunMax Auto Engineering,2.7,Auto Components,51-200 Employees,19 years old,New Delhi +9 more,
Sunshine Hospitals,4.1,Healthcare,201-500 Employees,14 years old,Secunderabad +13 more,
Igarashi Motors,3.9,Auto Components,501-1k Employees,Public,31 years old,Chennai +5 more
Terrier Security Services,4.1,Law Enforcement & Security,51-200 Employees,34 years old,Bangalore +27 more,
Hidden Brains InfoTech,4.1,IT Services & Consulting,201-500 Employees,20 years old,Ahmedabad +3 more,
Parker Hannifin,4.1,Defence & Aerospace,1k-5k Employees,Forbes Global 2000,106 years old,Cleveland +11 more
Maahi Milk Producer Company,4.2,Food Processing,501-1k Employees,11 years old,Rajkot +20 more,
Ratnadeep Super Market,4.1,Retail,5k-10k Employees,36 years old,Hyderabad/Secunderabad +9 more,
Abellon Clean Energy,3.7,Other,501-1k Employees,Public,15 years old,Ahmedabad +15 more
Don Bosco Tech Society,3.9,Non-Profit,201-500 Employees,17 years old,New Delhi +45 more,
Paladion Networks,4.0,Hardware & Networking,501-1k Employees,23 years old,Bangalore +5 more,
Elsamex Maintenance Services,4.1,Facility Management Services,201-500 Employees,24 years old,Ahmedabad +31 more,
Army Ordnance Corps,4.8,Defence & Aerospace,11-50 Employees,Public,248 years old,New Delhi +45 more
Avaada Energy,4.5,Power,501-1k Employees,14 years old,Mumbai +16 more,
Ratnadeep Super Market,4.1,Retail,5k-10k Employees,36 years old,Hyderabad/Secunderabad +9 more,
eMDs,3.7,IT Services & Consulting,201-500 Employees,27 years old,Austin +4 more,
Lucy Electric,3.9,Electrical Equipment,51-200 Employees,211 years old,Thame +9 more,
MoreTasks,4.2,IT Services & Consulting,51-200 Employees,7 years old,Gurgaon/Gurugram +1 more,
MamaEarth,4.0,Beauty & Personal Care,201-500 Employees,Indian Unicorn,7 years old,Gurgaon +25 more
Formidium Corp,3.6,Financial Services,501-1k Employees,7 years old,Chicago +2 more,
Hire Glocal,4.8,Recruitment,51-200 Employees,11 years old,Mumbai +6 more,
Wilo Mather and Platt Pumps,4.1,Industrial Machinery,501-1k Employees,Public,153 years old,Dortmund +16 more
Jagatjit Industries,3.9,Beverage,1k-5k Employees,Public,79 years old,Kapurthala  +22 more
Utkarsh India,3.1,Industrial Machinery,501-1k Employees,Public,36 years old,Kolkata +12 more
Teletext Holidays,3.7,Travel & Tourism,51-200 Employees,31 years old,London +3 more,
Chandigarh Group of Colleges,3.6,Education & Training,501-1k Employees,22 years old,Mohali +10 more,
Darwinbox,3.5,Software Product,501-1k Employees,Indian Unicorn,8 years old,Hyderabad +9 more
Kalyan Toll Infrastructure,4.3,Engineering & Construction,51-200 Employees,21 years old,Indore +22 more,
